MCU                             Opt     Arch         Freq/MHz    Time/ms     DMIPS      DMIPS/MHz
GD32E230C8T6(oc)                O3      Cortex-M23            144      5.050        113          0.78
STM32F401RET6                   O3      Cortex-M4              84      5.210        109          1.30
STM32L431CCT6                   O3      Cortex-M4              80      5.320        107          1.34
STM32L431CCT6(oc)               Os      Cortex-M4             136      5.570        102          0.75
GD32VF103CBT6                   Os      RISC-V                108      6.000         95          0.88
ESP8266                         O3      Xtensa L106            80      6.380         89          1.12
CH32V305RB                      Os      RISC-V                144      6.690         85          0.59
GD32F103RCT6                    O3      Cortex-M3              72      7.540         75          1.05
GD32E103CBT6                    Os      Cortex-M4             120      8.110         70          0.58
STM32F303CCT6                   O3      Cortex-M4              72      8.490         67          0.93
STM32F103VET6                   O3      Cortex-M3              72      8.710         65          0.91
STM32F401RET6                   Os      Cortex-M4              84      9.190         62          0.74
STM32L431CCT6                   Os      Cortex-M4              80      9.280         61          0.77
GD32E230C8T6(oc)                Os      Cortex-M23            144      9.410         60          0.42
STM32F303CCT6(oc)               Os      Cortex-M4             128      9.490         60          0.47
GD32E230C8T6                    O3      Cortex-M23             72     10.440         55          0.76
GD32F103RCT6                    Os      Cortex-M3              72     11.830         48          0.67
ESP8266                         Os      Xtensa L106            80     12.200         47          0.58
STM32F070CBT6                   O3      Cortex-M0              48     14.900         38          0.80
STM32F303CCT6                   Os      Cortex-M4              72     16.800         34          0.47
STM32F103VET6                   Os      Cortex-M3              72     18.330         31          0.43
GD32E230C8T6                    Os      Cortex-M23             72     19.020         30          0.42
STM32L051C8T6                   O3      Cortex-M0              32     25.300         22          0.70
STM32F070CBT6                   Os      Cortex-M0              48     27.520         21          0.43
XL2409                          O3      Cortex-M0+             24     33.000         17          0.72
STM32L051C8T6                   Os      Cortex-M0              32     42.900         13          0.41
XL2409                          Os      Cortex-M0+             24     53.400         11          0.44
ATMEGA16                        O3      AVR                    16     67.000        8.5          0.53
ATMEGA328P                      O3      AVR                    16     71.900        7.9          0.49
CH573                           O3      RISC-V                 60     73.600        7.7          0.13
ATMEGA328P                      Os      AVR                   16      74.000        7.7          0.48
CH573                           O3      RISC-V                20      78.000        7.3          0.36
CH592                           O3      RISC-V                60      79.100        7.2          0.12
CH592                           O3      RISC-V                20      82.400        6.9          0.35
CH573                           Os      RISC-V                60      85.500        6.7          0.11
ATMEGA16                        Os      AVR                   16      93.500        6.1          0.38
STM8L151G6U6                    fast    STM8                  16     107.100        5.3          0.33
STM8S003F3U6                    fast    STM8                  16     107.200        5.3          0.33
STM8S003F3U6                    compact STM8                  16     108.100        5.3          0.33
STM8L151G6U6                    compact STM8                  16     121.000        4.7          0.29
CH592                           Os      RISC-V                20     124.800        4.6          0.23
CH592                           Os      RISC-V                60     124.600        4.6          0.08
STC8A8K64S4A                    speed   8051                  24     254.000        2.2          0.09
NRF24LE1                        size    8051                   16    883.000        0.6          0.04
NRF24LE1                        speed   8051                   16    884.000        0.6          0.04
